HYBAS_ID,Year,Ephemeral,Seasonal,Permanent
2070048790,1984,4.4055,2.7999,5.2326
2070048980,1984,2.5434,0.6525,1.4454
2070048990,1984,2.6775,0.81,2.6226
2070049120,1984,1.062,0.2484,0.3123
2070049130,1984,12.168,3.6846,11.6019
2070049480,1984,0.1638,0.0747,0.0666
2070049490,1984,0.7155,0.5049,0.9585
2070049520,1984,0.6228,0.4041,0.5067
2070049530,1984,2.0961,0.3465,1.0872
2070049610,1984,1.6299,0.5562,5.859
2070049620,1984,0.0954,0.1233,0.4428
2070049660,1984,1.2321,0.5751,0.738
2070378450,1984,2.5812,0.9648,5.9301
2070378340,1984,0.8487,0.2295,0.0756
2070373410,1984,0.2592,0.0576,0.0603
2070373340,1984,1.611,0.6111,1.9314
2070359650,1984,0.7425,0.3987,1.7586
2070359860,1984,0.4446,0.1818,1.0683
2070358160,1984,0.5967,0.2295,2.5947
2070358040,1984,0.4491,0.1485,6.1749
2070049670,1984,0.3402,0.0207,0.0333
2070049680,1984,3.0744,0.9783,9.3969
2070049690,1984,0.4536,0.1629,0.1431
2070049710,1984,0.945,0.3978,5.7249
2070049720,1984,4.7628,1.4625,12.7422
2070049950,1984,0.3366,0.1395,2.4831
2070049960,1984,10.0206,4.8366,34.8327
2070050340,1984,1.9593,0.8091,17.6868
2070050350,1984,2.313,0.5814,3.8961
2070050390,1984,3.7476,0.8667,3.9231
2070050400,1984,0.0036,0.0072,0.2412
2070050410,1984,4.5054,2.1249,18.8433
2070050420,1984,2.4489,0.3906,4.1859
2070050460,1984,2.2293,0.8343,7.0182
2070050470,1984,3.3534,0.4788,0.9099
2070050510,1984,0.306,0.0918,0.1971
2070050520,1984,6.2073,1.3968,17.2179
2070050680,1984,0.9765,0.279,20.6946
2070050690,1984,0.8532,0.4005,0.2601
2070050770,1984,1.6416,0.0882,3.7971
2070050780,1984,0,0.0108,0
2070050790,1984,0.2646,0.1638,0.1332
2070050800,1984,0.4446,0.0099,0.0981
2070050810,1984,0.0135,0.0036,0.0081
2070050830,1984,0.1521,0.0675,0.4509
2070050840,1984,0.5391,0.027,0.0918
2070050880,1984,0.8388,0.3348,1.7523
2070050890,1984,0.4464,0.3168,2.9295
2070050930,1984,3.6684,1.1556,19.377
2070050940,1984,9.3384,6.768,38.5668
2070051150,1984,5.4873,3.4002,21.9627
2070051160,1984,10.9278,8.0181,179.1657
2070051370,1984,4.3335,1.9197,66.3831
2070051380,1984,1.4985,1.7847,18.2862
2070051420,1984,4.9473,3.276,88.461
2070051430,1984,37.7253,32.3235,512.8227
2070052140,1984,3.8214,2.8404,68.8275
2070052150,1984,13.3119,9.1008,113.5134
2070052290,1984,15.5691,4.293,152.1972
2070052300,1984,1.4535,1.5912,15.1407
2070052380,1984,2.808,1.6335,8.8191
2070052390,1984,4.1868,4.8105,16.9839
2070052660,1984,9.4374,6.8418,151.1748
2070052670,1984,12.5901,9.0981,113.6493
2070052940,1984,1.9809,1.6929,15.7761
2070052950,1984,0.2961,0.0891,0.1629
2070052960,1984,2.5371,0.7263,3.3048
2070053050,1984,0.7974,2.6829,28.4202
2070053060,1984,0.0396,0.0108,0.0324
2070053070,1984,0.4014,0.3663,1.3554
2070053080,1984,0.5715,0.1845,1.2303
2070053100,1984,2.1762,1.1511,10.197
2070053110,1984,3.9672,0.981,4.923
2070053200,1984,0.5076,0.0081,0.1134
2070053210,1984,1.0845,0.0963,1.0278
2070053240,1984,1.4715,0.1332,0.6588
2070335010,1984,0.027,0,0
2070335200,1984,5.6709,1.5642,11.2401
2070334500,1984,0.657,0.0252,0.0432
2070334510,1984,1.197,0.1161,0.3843
2070332620,1984,0.8631,0.3708,5.1237
2070332480,1984,0.8181,0.297,2.8872
2070327510,1984,1.2906,0.0621,0.2835
2070327500,1984,1.4697,0.3375,1.5381
2070053250,1984,0.0297,0.0099,0.0027
2070053260,1984,0.0756,0.0126,0.0234
2070337930,1984,8.7111,1.4472,7.8192
2070337990,1984,17.5473,3.2571,7.5384
2070354670,1984,0.7695,0.2817,1.2933
2070354790,1984,2.466,0.4896,2.8971
2070354920,1984,10.1412,1.1583,4.1625
2070354650,1984,1.2789,0.8316,4.9104
2070358230,1984,2.3067,0.8361,7.6302
2070358400,1984,5.9751,1.7613,5.5602
2070053270,1984,2.3193,0.0603,0.2637
2070053290,1984,0.6012,0.0405,0.1746
2070053300,1984,3.3453,1.1412,3.9141
2070053410,1984,5.5161,0.9054,3.2229
2070053420,1984,3.6918,1.7802,22.2804
2070053430,1984,0.531,0.0855,0.0198
2070053460,1984,0.2538,0.0432,0
2070053470,1984,8.5968,3.3021,11.3778
2070053480,1984,0.7434,0.0369,0.0126
2070053500,1984,44.8398,14.5539,27.7398
2070053510,1984,2.6604,0.4437,1.2195
2070053560,1984,3.4254,1.8909,9.7776
2070053570,1984,20.0025,4.5792,1.8279
2070053630,1984,3.7908,0.4167,0.1647
2070053640,1984,7.7193,2.2536,3.1734
2070053670,1984,0.243,0.2151,0.1566
2070053680,1984,23.9769,4.221,8.9415
2070053720,1984,2.1159,1.3824,5.7222
2070053730,1984,14.4387,2.5263,2.4318
2070053790,1984,2.1924,1.4535,3.9753
2070391260,1984,1.6407,2.5281,9.4221
2070391560,1984,1.7217,2.3904,12.8475
2070394460,1984,0.2709,0.7056,1.7982
2070394580,1984,0.7299,0.6912,1.206
2070393160,1984,1.9962,2.2824,12.2337
2070393150,1984,4.6827,3.9951,11.6316
2070392740,1984,2.0511,0.7191,2.9997
2070392570,1984,13.2921,3.6378,15.2856
2070053800,1984,12.0123,7.1847,24.3009
2070054000,1984,20.6703,7.2702,156.0969
2070054130,1984,0,0,0.0378
2070054140,1984,1.6902,3.024,47.4885
2070339950,1984,0,0.0081,0.0018
2070055250,1984,0.2259,0.2358,7.5951
2070055310,1984,6.1452,13.14,228.9411
2070055320,1984,2.2248,1.1556,17.2638
